#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 1.61667 - 1.78333
#HM   Stats: 1.845590e+10 (median) + 1.322060e+10  / - 7.061800e+09
#SM   Stats: 1.728870e+07 (median) + 2.772740e+07  / - 1.016599e+07
#VMP  Stats: 4.883000e+01 (median) + 7.099998e+00  / - 5.400002e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.992178e-10 (median) + 2.972954e-10  / - 1.569239e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3443648
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3443648
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3443648
sfh 0.064623 0 0 0 #avg: 6.6358e-19; avg_err: 6.6358e-19; sd: 1.23141e-15; counts: 3443648
sfh 0.066873 0 0 0 #avg: 2.05666e-18; avg_err: 2.05666e-18; sd: 3.81656e-15; counts: 3443648
sfh 0.069123 0 0 0 #avg: 5.93571e-18; avg_err: 5.93571e-18; sd: 1.10149e-14; counts: 3443648
sfh 0.071373 0 0 0 #avg: 8.94312e-18; avg_err: 8.94312e-18; sd: 1.65958e-14; counts: 3443648
sfh 0.073623 0 0 0 #avg: 4.51547e-17; avg_err: 4.51547e-17; sd: 8.37938e-14; counts: 3443648
sfh 0.075873 0 0 0 #avg: 5.2122e-17; avg_err: 5.2122e-17; sd: 9.67232e-14; counts: 3443648
sfh 0.078123 0 0 0 #avg: 1.21345e-16; avg_err: 6.28857e-17; sd: 1.16697e-13; counts: 3443648
sfh 0.080373 0 0 0 #avg: 1.88511e-16; avg_err: 9.74324e-17; sd: 1.80806e-13; counts: 3443648
