#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 9.75 - 10.25
#HM   Stats: 1.093820e+10 (median) + 4.326500e+09  / - 3.417610e+09
#SM   Stats: 7.379230e+06 (median) + 1.535827e+07  / - 5.801650e+06
#VMP  Stats: 4.289000e+01 (median) + 7.940002e+00  / - 8.029999e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.480743e-10 (median) + 3.184517e-10  / - 1.416108e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 593524
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 593524
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 593524
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 593524
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 593524
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 593524
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 593524
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 593524
sfh 0.075873 0 0 0 #avg: 8.2925e-08; avg_err: 5.91411e-08; sd: 4.55626e-05; counts: 593524
sfh 0.078123 0 0 0 #avg: 1.51533e-07; avg_err: 1.10592e-07; sd: 8.52002e-05; counts: 593524
sfh 0.080373 0 0 0 #avg: 5.17814e-07; avg_err: 3.58696e-07; sd: 0.000276341; counts: 593524
sfh 0.082623 0 0 0 #avg: 1.00116e-06; avg_err: 5.38584e-07; sd: 0.000414928; counts: 593524
sfh 0.085998 0 0 0 #avg: 1.23529e-06; avg_err: 6.47473e-07; sd: 0.000498816; counts: 593524
sfh 0.089373 0 0 0 #avg: 2.10136e-06; avg_err: 8.93035e-07; sd: 0.000687998; counts: 593524
